x,y,v,p
20,29,1,bracket.png
20,30,1,bracket.png
20,32,1,bracket.png
20,33,1,bracket.png
20,66,1,bracket.png
20,67,1,bracket.png
20,69,1,bracket.png
20,70,1,bracket.png
20,75,1,bracket.png
20,76,1,bracket.png
21,24,1,bracket.png
21,25,1,bracket.png
21,30,1,bracket.png
21,31,1,bracket.png
21,33,1,bracket.png
21,34,1,bracket.png
21,66,1,bracket.png
21,69,1,bracket.png
21,74,1,bracket.png
21,75,1,bracket.png
22,25,1,bracket.png
22,26,1,bracket.png
22,30,1,bracket.png
22,31,1,bracket.png
22,34,1,bracket.png
22,65,1,bracket.png
22,66,1,bracket.png
22,68,1,bracket.png
22,69,1,bracket.png
22,74,1,bracket.png
23,26,1,bracket.png
23,31,1,bracket.png
23,32,1,bracket.png
23,34,1,bracket.png
23,35,1,bracket.png
23,64,1,bracket.png
23,65,1,bracket.png
23,67,1,bracket.png
23,68,1,bracket.png
23,73,1,bracket.png
23,74,1,bracket.png
24,15,1,bracket.png
24,16,1,bracket.png
24,17,1,bracket.png
24,26,1,bracket.png
24,27,1,bracket.png
24,32,1,bracket.png
24,35,1,bracket.png
24,36,1,bracket.png
24,64,1,bracket.png
24,65,1,bracket.png
24,67,1,bracket.png
24,72,1,bracket.png
24,73,1,bracket.png
24,83,1,bracket.png
24,84,1,bracket.png
25,13,1,bracket.png
25,14,1,bracket.png
25,15,1,bracket.png
25,16,1,bracket.png
25,17,1,bracket.png
25,18,1,bracket.png
25,27,1,bracket.png
25,28,1,bracket.png
25,32,1,bracket.png
25,33,1,bracket.png
25,35,1,bracket.png
25,36,1,bracket.png
25,63,1,bracket.png
25,64,1,bracket.png
25,66,1,bracket.png
25,67,1,bracket.png
25,72,1,bracket.png
25,81,1,bracket.png
25,82,1,bracket.png
25,83,1,bracket.png
25,84,1,bracket.png
25,85,1,bracket.png
25,86,1,bracket.png
26,12,1,bracket.png
26,13,1,bracket.png
26,14,1,bracket.png
26,18,1,bracket.png
26,19,1,bracket.png
26,27,1,bracket.png
26,28,1,bracket.png
26,33,1,bracket.png
26,34,1,bracket.png
26,36,1,bracket.png
